name,gender,age_group,education,experience,hired
Alex,Male,25-40,Bachelors,5,1
Sam,Female,25-40,Bachelors,5,0
Jordan,Male,40+,Masters,12,1
Taylor,Female,40+,Masters,12,0
Chris,Male,25-40,Bachelors,4,1
Riley,Female,25-40,Bachelors,4,0
Morgan,Male,25-40,Masters,8,1
Casey,Female,25-40,Masters,8,1
Quinn,Male,25-40,PhD,3,1
Avery,Female,25-40,PhD,3,1
Skyler,Male,40+,Bachelors,15,1
Parker,Female,40+,Bachelors,15,0
Blake,Male,25-40,Masters,6,1
Dakota,Female,25-40,Masters,6,0
Drew,Male,40+,PhD,20,1
Harper,Female,40+,PhD,20,1
Rowan,Male,25-40,Bachelors,2,0
Hayden,Female,25-40,Bachelors,2,0
Ellis,Male,40+,Masters,10,1
Finley,Female,40+,Masters,10,0
Reese,Male,25-40,Bachelors,7,1
Emerson,Female,25-40,Bachelors,7,0
Micah,Male,40+,Bachelors,11,1
River,Female,40+,Bachelors,11,0
Charlie,Male,25-40,Masters,5,1
Rory,Female,25-40,Masters,5,1
Sloan,Male,40+,PhD,18,1
Sage,Female,40+,PhD,18,1
Kendall,Male,25-40,Bachelors,3,0
Peyton,Female,25-40,Bachelors,3,0
Lennon,Male,40+,Masters,14,1
Dallas,Female,40+,Masters,14,0
Harley,Male,25-40,Bachelors,6,1
Phoenix,Female,25-40,Bachelors,6,0
Cameron,Male,40+,Bachelors,13,1
Remi,Female,40+,Bachelors,13,0
Sawyer,Male,25-40,Masters,9,1
Sutton,Female,25-40,Masters,9,1
Frankie,Male,40+,PhD,22,1
Reagan,Female,40+,PhD,22,1
